Date,Open,Close,,,,
2025-05-05,202.83402512432000,198.62953186035200,,,,
2025-05-06,197.9504203457910,198.25001525878900,,,,
2025-05-07,198.90915494694500,195.99298095703100,,,,
2025-05-08,197.46106353953900,197.2313690185550,,,,
2025-05-09,198.739389980464,198.27000427246100,,,,
2025-05-12,210.97000122070300,210.7899932861330,,,,
2025-05-13,210.42999267578100,212.92999267578100,,,,
2025-05-14,212.42999267578100,212.3300018310550,,,,
2025-05-15,210.9499969482420,211.4499969482420,,,,
2025-05-16,212.36000061035200,211.25999450683600,,,,
2025-05-19,207.91000366210900,208.77999877929700,,,,
2025-05-20,207.6699981689450,206.86000061035200,,,,
2025-05-21,205.1699981689450,202.08999633789100,,,,
2025-05-22,200.7100067138670,201.36000061035200,,,,
2025-05-23,193.6699981689450,195.27000427246100,,,,
2025-05-27,198.3000030517580,200.2100067138670,,,,
2025-05-28,200.58999633789100,200.4199981689450,,,,
2025-05-29,203.5800018310550,199.9499969482420,,,,
2025-05-30,199.3699951171880,200.85000610351600,,,,
2025-06-02,200.27999877929700,201.6999969482420,,,,
2025-06-03,201.35000610351600,203.27000427246100,,,,